question,votes,tags
What does the “yield” keyword do?,10694,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6454,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6348,python operators ternary-operator conditional-operator
What are metaclasses in Python?,5940,python oop metaclass python-datamodel
How do I check whether a file exists without exceptions?,5870,python file file-exists
How do I merge two dictionaries in a single expression in Python (taking union of dictionaries)?,5224,python dictionary merge
How to call an external command?,5090,python shell terminal subprocess command
How can I safely create a nested directory?,4488,python exception path directory operating-system
Accessing the index in 'for' loops?,3847,python loops list
Difference between staticmethod and classmethod,3764,python oop methods python-decorators
How to make a flat list out of list of lists?,3722,python list multidimensional-array flatten
Does Python have a string 'contains' substring method?,3597,python string substring contains
Understanding slice notation,3558,python list slice iterable
How do I list all files of a directory?,3468,python directory
How do I sort a dictionary by value?,3418,python sorting dictionary
Finding the index of an item in a list,3412,python list indexing
Iterating over dictionaries using 'for' loops,3326,python python-2.7 dictionary
Using global variables in a function,3255,python global-variables scope
How do I check if a list is empty?,3232,python list
What is the difference between Python's list methods append and extend?,3114,python list data-structures append extend
How to get the current time in Python,3080,python datetime time
Catch multiple exceptions in one line (except block),2948,python exception exception-handling
Difference between __str__ and __repr__?,2887,python magic-methods repr
How can I make a time delay in Python? [duplicate],2839,python delay sleep timedelay
How to make function decorators and chain them together?,2823,python decorator python-decorators
How can I add new keys to a dictionary?,2792,python dictionary lookup
How do I pass a variable by reference?,2751,python reference parameter-passing pass-by-reference
How do I concatenate two lists in Python?,2729,python list concatenation
How do I copy a file in Python?,2726,python file copy filesystems file-copying
“Least Astonishment” and the Mutable Default Argument,2718,python language-design default-parameters least-astonishment
List changes unexpectedly after assignment. How do I clone or copy it to prevent this?,2713,python list copy clone
Check if a given key already exists in a dictionary,2681,python dictionary
Understanding Python super() with __init__() methods [duplicate],2649,python class oop inheritance super
Convert bytes to a string,2608,python string python-3.x
How can I install pip on Windows?,2584,python windows installation pip easy-install
What is __init__.py for?,2541,python module package python-packaging
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2515,python syntax parameter-passing variadic-functions argument-unpacking
How do you split a list into evenly sized chunks?,2407,python list split chunks
Manually raising (throwing) an exception in Python,2394,python exception
How to iterate over rows in a DataFrame in Pandas,2365,python pandas rows dataframe
How do I parse a string to a float or int?,2352,python parsing floating-point type-conversion integer
Find current directory and file's directory [duplicate],2344,python directory
How to delete a file or folder?,2325,python file-io directory delete-file
How to access environment variable values?,2304,python environment-variables
How to print colored text in Python?,2303,python terminal output ansi-colors
Converting string into datetime,2293,python datetime
How do you change the size of figures drawn with matplotlib?,2283,python graph matplotlib plot visualization
How to select rows from a DataFrame based on column values,2258,python pandas dataframe
How do I get a substring of a string in Python?,2254,python string substring
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,2241,python performance python-3.x range python-internals
Getting the last element of a list,2232,python list indexing
How to upgrade all Python packages with pip,2189,python pip
How do I lowercase a string in Python?,2155,python string uppercase lowercase
Is there a way to run Python on Android?,2089,android python jython ase android-scripting
How do I sort a list of dictionaries by a value of the dictionary?,2041,python list sorting dictionary data-structures
How to read a file line-by-line into a list?,2026,python string file readlines
Are static class variables possible in Python?,2026,python class oop static class-variables
Renaming columns in pandas,2013,python pandas replace dataframe rename
How do I get the number of elements in a list?,2002,python list
How to remove a key from a Python dictionary?,1993,python dictionary data-structures unset
How to print without newline or space?,1962,python newline
Why is reading lines from stdin much slower in C++ than Python?,1913,python c++ benchmarking iostream getline
Calling a function of a module by using its name (a string),1861,python object
Determine the type of an object?,1848,python dictionary types typeof
How to randomly select an item from a list?,1843,python list random
Why is it string.join(list) instead of list.join(string)?,1824,python string list
Limiting floats to two decimal points,1789,python floating-point rounding precision
Static methods in Python?,1766,python static-methods
How to know if an object has an attribute in Python,1763,python attributes
How can I remove a trailing newline?,1757,python newline trailing
How to leave/exit/deactivate a Python virtualenv,1727,python virtualenv virtualenvwrapper
Replacements for switch statement in Python?,1717,python switch-statement
How to determine a Python variable's type?,1705,python types unsigned signed 16-bit
How do I check if a string is a number (float)?,1687,python casting floating-point type-conversion
How do I install pip on macOS or OS X?,1673,python macos pip installation
How do you append to a file in Python?,1663,python file append
How can I print literal curly-brace characters in python string and also use .format on it?,1661,python string format string-formatting curly-braces
Meaning of @classmethod and @staticmethod for beginner? [duplicate],1649,python oop static-methods class-method
How can I count the occurrences of a list item?,1627,python list count
How to remove an element from a list by index,1626,python list
Importing files from different folder,1608,python importerror python-import
How to pad zeroes to a string?,1562,python string zero-padding
Getting the class name of an instance?,1556,python introspection instanceof python-datamodel
Delete an element from a dictionary,1551,python dictionary del
How to check if the string is empty?,1540,python string comparison-operators
How do you read from stdin?,1526,python stdin
Delete column from pandas DataFrame,1498,python pandas dataframe
Why can't Python parse this JSON data?,1463,python json parsing
Use of *args and **kwargs [duplicate],1442,python args keyword-argument
Installing specific package versions with pip,1422,python mysql pip pypi mysql-python
Hidden features of Python [closed],1418,python hidden-features
Converting integer to string in Python,1417,python string integer
Generate random integers between 0 and 9,1412,python random integer
How to print to stderr in Python?,1410,python printing stderr zen-of-python
